num	point	place	zone	coast	biotop	Na	K	Ca	Mg	HCO3	C(CO2)	Cl	N(NO2)	N(NO3)	S(SO4)	N(NH4)	P(PO4)	Si	COD	 ðÍ 	Corg	Bio_phyto	chloroph_a	Sum_PP	BOD	NB	OB	TMC22C 	TMC37C 	Sum_BP
11	3	m_osin	r	e	w	3.05	0.93	14.3	3.1	59.84	0.744361688	0.42	0.001217391	0.252608696	2.596666667	0.001666667	0.008838384	1.22	1.9	7.85	2.4	NA	NA	NA	0.6	1291	86	21	3	NA
12	3	m_osin	r	e	w	2.56	0.8	15.8	2.71	62.47	0.708702448	0.47	0.000913043	0.21	2.566666667	0.002666667	0.008131313	1.22	1.9	7.89	2.07	77.5	NA	NA	0.6	1225	34	18	4	NA
13	3	m_osin	r	e	w	3.38	0.95	15.9	3.13	66.04	0.840619561	0.56	0.000913043	0.130869565	1.966666667	0.001333333	0.009191919	0.54	1.7	7.84	2.31	NA	1.39	16.16	0.6	1527	0	4	3	1.46
14	4	b_osin	u	e	w	1.23	0.87	16	4.03	64.54	0.784551375	0.16	0.001826087	0.523478261	4.083333333	0.002333333	0.001767677	3.9	2.2	7.86	2.24	42	0.35	6.98	0.2	272	408	118	8	1.4
15	4	b_osin	r	e	w	3.4	0.94	16.2	3.2	69.18	0.699476269	0.51	0.000608696	0.115652174	1.94	0.001333333	0.00989899	0.58	2.6	7.94	2.57	NA	NA	NA	0.5	1496	1	3	3	NA
16	4	b_osin	r	e	w	3.53	0.97	16.5	3.27	71.91	0.710528849	0.5	0.001521739	0.12173913	1.916666667	0.001	0.009545455	0.59	2.8	7.95	2.62	NA	NA	NA	0.6	1425	5	2	3	NA
17	4	b_osin	r	e	w	3.45	0.93	16.5	3.19	71.1	0.718889313	0.52	0.001826087	0.118695652	1.893333333	0.003	0.00989899	0.54	3.8	7.94	2.74	79	3.08	9.9	0.6	1679	5	4	3	1.78
18	5	ref_1	p	p	w	3.44	0.97	16	3	66.47	0.404965574	0.43	0	0.091304348	1.776666667	0.001	0.00459596	0.53	2.1	8.16	2.55	165	3.26	15.89	0.6	1563	2	2	2	1.01
19	6	b_muz	u	w	w	3.4	1.05	16.1	3.09	64.83	0.485924111	0.69	0.001217391	0.167391304	2.093333333	0.001666667	0.006363636	0.55	3.9	8.07	1.92	96	1.41	7.01	0.6	1563	1	2	3	0.66
20	6	b_muz	r	w	w	3.32	1.05	16.3	3.05	66.81	0.500764921	0.72	0	0.127826087	2.033333333	0.001666667	0.007070707	0.42	4.5	8.07	2.18	21	1.61	5.38	0.8	1581	5	0	6	0.63
21	7	krest	u	w	w	4.45	1.06	15.8	3.03	59.7	0.66186095	2.04	0.001217391	0.316521739	2.73	0.024666667	0.008484848	0.6	4.1	7.9	2.02	146	6.41	45.5	1.4	1627	117	59	7	1.3
22	7	krest	r	w	w	4.27	1.12	16	3.11	64.72	0.463266542	0.59	0.000608696	0.152173913	1.99	0.003	0.006363636	0.5	1.3	8.09	0.85	NA	NA	NA	0.7	1552	3	3	1	NA
23	7	krest	r	w	w	3.92	1.09	16.8	3.15	67.19	0.503613157	0.87	0.000608696	0.264782609	2.466666667	0.016	0.010252525	0.66	3.1	8.07	1.53	NA	NA	NA	0.9	1547	6	0	1	NA
24	7	krest	r	w	w	5.92	1.32	18.3	4.04	72.9	1.688573445	1.93	0.000913043	0.258695652	3.643333333	0.014666667	0.013787879	1.14	8.1	7.58	3.96	NA	NA	NA	2.6	3701	796	114	2	NA
25	7	krest	r	w	w	4.71	1.41	18.2	3.97	68.36	0.467298601	4.34	0.001521739	0.307391304	3.27	0.022333333	0.041010101	0.42	5.5	8.11	2.51	NA	NA	NA	1.6	2224	202	26	4	NA
26	7	krest	r	w	w	4.37	1.05	16.5	3.05	64.96	0.464984465	0.56	0.000304348	0.115652174	1.943333333	0.000333333	0.007777778	0.54	1.4	8.09	0.91	105	1.64	22.87	0.8	1750	4	0	0	1.01
27	7	krest	r	w	w	3.66	1.02	17.2	3.15	66.16	0.495892938	0.59	0.000608696	0.109565217	2.02	0.001666667	0.007777778	0.47	1.4	8.07	0.87	NA	NA	NA	0.7	1396	4	0	1	NA
28	7	krest	r	w	w	3.7	1.02	17.4	3.21	66.81	0.574955058	0.63	0.000608696	0.12173913	2.093333333	0.002	0.009191919	0.54	2.6	8.01	1.3	NA	NA	NA	0.8	1496	116	9	2	NA
29	8	ref_2	p	p	w	3.33	0.95	15.8	3	64.08	0.502938555	0.51	0	0.109565217	1.946666667	0	0.008131313	0.39	2.8	8.05	1.3	2.17	0.01	3.41	0.7	1252	10	0	1	1.33
30	9	b_cher	r	w	w	3.4	0.95	14.4	3.09	64.05	0.437836094	0.56	0	0.109565217	1.946666667	0.000333333	0.007777778	0.54	2.5	8.11	2.51	182	1.21	7.93	0.7	1514	53	1	0	0.57
31	9	b_cher	r	w	w	3.48	0.95	14.4	3.19	64.92	0.521399893	0.59	0	0.112608696	1.97	0.000666667	0.009191919	0.62	2.8	8.04	2.19	NA	NA	NA	0.8	1637	2	2	0	NA
32	9	b_cher	r	w	w	3.46	0.95	14.4	3.23	63.51	0.405167442	0.57	0	0.176521739	2.04	0.002	0.00989899	0.42	4	8.14	2.23	NA	NA	NA	0.8	1759	3	0	1	NA
33	9	b_cher	u	w	w	4.25	1.43	15.8	3.31	65.48	0.427465528	2.2	0.001217391	0.295217391	2.25	0.046666667	0.086616162	0.68	6	8.13	2.88	143	4.66	54.93	1.6	3501	5822	3257	126	1.61
34	9	b_cher	u	w	w	4.77	2.37	20.2	3.43	73.23	0.478058959	4.23	0.029217391	2.346521739	2.786666667	0.114333333	0.175353535	0.64	9.5	8.13	4.85	NA	NA	NA	3.2	3973	6880	6301	202	NA
35	9	b_cher	u	w	w	3.97	1.91	18.9	3.24	70.81	0.48404643	1.84	0.00336	0.2167	3.62	0.101	0.0834	0.48	5.6	8.11	3.22		NA	NA	1.7	NA	NA	NA	NA	NA
36	1	per	u	e	i	0.06	0.05	3	0.01	8.6	13.16106028	0.09	0.000608696	0.027391304	0.126666667	0.027333333	0.008131313	0.082	9.2	5.76	2.5	11.5	0.06	0.45	0.6	79	14	9	1	0.11
37	1	per	r	e	i	0.3	0.27	1.9	0.38	0	0	0	0	0	0	0.016333333	0	0.049	5.3	6.2	1.5	25.8	0.45	0.22	0.7	124	0	0	12	0.15
38	2	sol	u	e	i	0.13	0.08	3.2	0.12	7.87	6.176851484	0.14	0.011869565	0.782173913	0.183333333	0.005666667	0	0.017	5.3	6.05	3.3	2.23	0.02	0.6	0.6	211	0	0	0	0.11
39	2	sol	r	e	i	0.22	0.18	2.9	0.15	8.98	3.076583904	0.38	0.000304348	0.231304348	0.166666667	0.009333333	0.002121212	0.028	5.3	6.41	1.6	48.7	0.47	0.42	0.9	164	0	0	0	0.1
40	3	m_osin	u	e	i	0.31	0.27	3.9	0.08	11.25	0.654553198	0.22	0.007608696	0.133913043	0.823333333	0.010333333	0.008838384	0.95	4.6	7.18	1.4	13	0.03	5.1	0.7	74	154	5	3	0.75
41	3	m_osin	r	e	i	0.28	0.22	3.1	0.06	10.2	4.105750918	0.37	0.000913043	0.027391304	0.176666667	0.008	0.004242424	0.04	5.6	6.34	2	4.5	0.23	3.5	1	112	224	23	2	0.62
42	4	b_osin	u	e	i	0.37	0.25	6.5	0.78	21.45	0.718157538	0.21	0.001521739	0.197826087	0.91	0.011666667	0.004242424	0.84	6.8	7.42	1.7	21	0.06	4.91	0.9	170	0	1	1	0.72
43	4	b_osin	r	e	i	0.23	0.16	3.1	0.09	10.01	1.334217106	0.19	0.000608696	0.01826087	0.183333333	0.010333333	0.003181818	0.03	4.4	6.82	1.5	0.4	0.17	4.7	0.7	254	0	4	2	0.73
44	5	ref_1	p	p	i	0.13	0.12	2.9	0.02	9.19	0.055989674	0.2	0	0.024347826	0.106666667	0.006333333	0.001414141	0.03	2.6	8.16	1.1	121	2.17	2.3	0.5	165	0	0	0	0.56
45	6	b_muz	u	w	i	0.13	0.07	0.72	0.02	2.28	0.481645241	0.26	0.000608696	0.012173913	0.02	0.007666667	0.002828283	0.08	1.3	6.62	1.4	1.42	0.08	0.22	0.2	227	0	0	0	0.05
46	6	b_muz	r	w	i	0.07	0.04	0.75	0.02	2.3	1.015126728	0.22	0.000608696	0.009130435	0.01	0.002666667	0.001414141	0.01	1.2	6.3	1.1	4.25	0.06	0.18	0.2	98	1	2	0	0.05
47	7	krest	u	w	i	0.4	0.17	0.88	0.12	2.93	0.874299132	0.53	0.000608696	0.033478261	0.22	0.008666667	0.007070707	0.08	3.9	6.47	1.6	3.62	0.13	0.56	0.6	99	17	2	0	0.08
48	7	krest	r	w	i	0.54	0.22	0.82	0.02	2.86	1.205475699	0.96	0.000608696	0.01826087	0.05	0.011333333	0.002121212	0.02	1.9	6.32	1.3	1.44	0.07	0.49	0.7	75	2	1	0	0.08
49	8	ref_2	p	p	i	0.11	0.08	0.38	0.01	0.98	0.508181093	0.09	0	0.118695652	0.043333333	0.004	0.001414141	0.02	1.6	6.23	1.1	2.17	0.01	0.11	0.2	94	2	0	0	0.04
50	9	b_cher	u	w	i	0.35	0.11	0.54	0.01	1.65	0.552428876	0.56	0.001217391	0.01826087	0.06	0.009333333	0.004242424	0.04	1.4	6.42	1.8	16	0.05	0.09	0.8	116	546	401	344	0.04
51	9	b_cher	r	w	i	0.28	0.11	0.52	0.01	1.44	0.6069528	0.58	0.000608696	0.006086957	0.05	0.007	0.003888889	0.05	2.7	6.32	1.8	14	0.15	0.2	0.6	147	31	5	46	0.05
